PRISM Time Series Data,,,,
Location:  Lat: 39.1715   Lon: -79.3529   Elev: 1072m,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,
Spatial resolution: 4km,,,,
Period: 1895-01 - 2018-07,,,,
Dataset: AN81m,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,
Grid Cell Interpolation: Off,,,,
Time series generated: 2019-Feb-10,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,
pdate,ppt,tmin,tmean,tmax
1/1/1981,5.051111111,-5.244444444,-2.744444444,-0.222222222
1/2/1981,11.38333333,-6.855555556,-4.422222222,-1.988888889
1/3/1981,1.755555556,-11.2,-7.944444444,-4.711111111
1/4/1981,2.048888889,-19.18888889,-10.07777778,-0.966666667
1/5/1981,0,-22.02222222,-19.13333333,-16.24444444
1/6/1981,0,-20.97777778,-15.44444444,-9.9
1/7/1981,5.175555556,-14.16666667,-6.955555556,0.255555556
1/8/1981,2.611111111,-19.1,-11.47777778,-3.9
1/9/1981,0,-20.07777778,-14.65555556,-9.2
1/10/1981,2.065555556,-15,-10.62222222,-6.266666667
1/11/1981,0.834444444,-20.06666667,-15.63333333,-11.21111111
1/12/1981,1.221111111,-21.57777778,-17.15555556,-12.75555556
1/13/1981,0,-22.38888889,-17.41111111,-12.41111111
1/14/1981,1.393333333,-16.34444444,-11.06666667,-5.777777778
1/15/1981,1.056666667,-8.088888889,-3.788888889,0.511111111
1/16/1981,1.546666667,-6.522222222,-4.577777778,-2.622222222
1/17/1981,3.373333333,-11.96666667,-7.433333333,-2.933333333
1/18/1981,1.185555556,-13.01111111,-11.31111111,-9.611111111
1/19/1981,0,-13.26666667,-8.077777778,-2.922222222
1/20/1981,0,-10.18888889,-2.9,4.388888889
1/21/1981,4.04,-4.366666667,-0.044444444,4.255555556
1/22/1981,1.917777778,-1.688888889,-0.122222222,1.477777778
1/23/1981,0,-3.7,-1.644444444,0.433333333
1/24/1981,2.293333333,-5.244444444,-3.677777778,-2.077777778
1/25/1981,0,-9.6,-5.088888889,-0.544444444
1/26/1981,0,-7.522222222,0.888888889,9.288888889
1/27/1981,0,-0.922222222,4.766666667,10.42222222
1/28/1981,0,-7.288888889,-0.577777778,6.166666667
1/29/1981,0,-7.777777778,-3.111111111,1.566666667
1/30/1981,1.538888889,-15.13333333,-9.933333333,-4.733333333
1/31/1981,0,-17.46666667,-12.01111111,-6.533333333
2/1/1981,0,-16.88888889,-7.722222222,1.466666667
2/2/1981,19.03555556,-5.144444444,0.122222222,5.388888889
2/3/1981,4.92,-17.4,-9.188888889,-0.955555556
2/4/1981,0.808888889,-17.38888889,-15.23333333,-13.11111111
2/5/1981,0.556666667,-17.35555556,-13.54444444,-9.733333333
2/6/1981,0,-17.01111111,-11.17777778,-5.355555556
2/7/1981,0.076666667,-12.23333333,-7.288888889,-2.355555556
2/8/1981,0.932222222,-9.988888889,-2.988888889,3.988888889
2/9/1981,6.286666667,-16.41111111,-8.744444444,-1.077777778
2/10/1981,0,-15.08888889,-8.211111111,-1.355555556
2/11/1981,5.597777778,-4.011111111,2.477777778,8.944444444
2/12/1981,8.246666667,-21.54444444,-5.777777778,9.966666667
2/13/1981,0,-21.43333333,-15.92222222,-10.45555556
2/14/1981,0,-17.17777778,-7.1,2.988888889
2/15/1981,0,-9.033333333,-0.422222222,8.233333333
2/16/1981,0,-7.922222222,1.733333333,11.37777778
2/17/1981,1.217777778,-3.777777778,5.044444444,13.87777778
2/18/1981,2.912222222,2.122222222,5.633333333,9.144444444
2/19/1981,0,1.333333333,9.133333333,16.94444444
2/20/1981,5.534444444,2.233333333,6.888888889,11.55555556
2/21/1981,22.98444444,0.688888889,3.177777778,5.688888889
2/22/1981,0.963333333,0.322222222,2.3,4.311111111
2/23/1981,0,2.5,7.455555556,12.45555556
2/24/1981,12.86333333,-1.533333333,3.422222222,8.377777778
2/25/1981,1.978888889,-1.877777778,-0.377777778,1.122222222
2/26/1981,0,-5.222222222,-1,3.233333333
2/27/1981,0,-7.2,-3.244444444,0.722222222
2/28/1981,0,-6.077777778,2.322222222,10.76666667
3/1/1981,22.50666667,-0.488888889,5.944444444,12.37777778
3/2/1981,0.092222222,-1.833333333,-0.755555556,0.311111111
3/3/1981,2.68,-7.311111111,-4.144444444,-0.966666667
3/4/1981,0,-9.2,-5.588888889,-1.966666667
3/5/1981,9.847777778,-6.933333333,-2.144444444,2.644444444
3/6/1981,6.925555556,-4.922222222,-2.555555556,-0.177777778
3/7/1981,0.876666667,-7.488888889,-4.544444444,-1.6
3/8/1981,0,-7.255555556,-5.311111111,-3.311111111
3/9/1981,0.688888889,-5.188888889,-3.322222222,-1.444444444
