PRISM Time Series Data,,,,
Location:  Lat: 39.1715   Lon: -79.3529   Elev: 1072m,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,
Spatial resolution: 4km,,,,
Period: 1895-01 - 2018-07,,,,
Dataset: AN81m,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,
Grid Cell Interpolation: Off,,,,
Time series generated: 2019-Feb-10,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1895-01,142.3533333,-10.23333333,-5.488888889,-0.722222222
1895-02,31.23444444,-13.37777778,-8.611111111,-3.822222222
1895-03,138.0266667,-5.488888889,0.722222222,6.911111111
1895-04,94.69,-0.011111111,6.211111111,12.46666667
1895-05,79.10888889,6.377777778,12.52222222,18.66666667
1895-06,93.15555556,11.02222222,18.34444444,25.64444444
1895-07,113.8188889,10.62222222,16.86666667,23.08888889
1895-08,59.61333333,11.94444444,18.71111111,25.47777778
1895-09,26.01333333,10.86666667,17.52222222,24.18888889
1895-10,36.4,-0.722222222,6.011111111,12.74444444
1895-11,74.68444444,-1.455555556,3.922222222,9.288888889
1895-12,77.63111111,-5.388888889,-0.8,3.766666667
1896-01,40.76555556,-7.4,-3.377777778,0.644444444
1896-02,106.4633333,-7.277777778,-3,1.333333333
1896-03,153.6722222,-6.611111111,-1.922222222,2.755555556
1896-04,75.05,4.055555556,10.04444444,16.04444444
1896-05,140.9044444,10.45555556,16.25555556,22.06666667
1896-06,139.25,11.32222222,17,22.66666667
1896-07,379.1844444,14.14444444,19.01111111,23.86666667
1896-08,72.13222222,12.47777778,18.41111111,24.32222222
1896-09,181.7488889,8.811111111,14.96666667,21.1
1896-10,77.82888889,1.888888889,6.922222222,11.93333333
1896-11,106.7133333,0.855555556,5.822222222,10.85555556
1896-12,69.13333333,-6.311111111,-1.866666667,2.611111111
1897-01,69.82222222,-9.455555556,-5.033333333,-0.611111111
1897-02,180.76,-5.266666667,-1.3,2.644444444
1897-03,123.46,-1,4.344444444,9.677777778
1897-04,96.01555556,1.022222222,7.033333333,13.04444444
1897-05,131.6344444,4.911111111,10.93333333,16.95555556
1897-06,142.1977778,10.01111111,16.27777778,22.56666667
1897-07,179.9244444,13.85555556,19.44444444,25.05555556
1897-08,120.8266667,10.43333333,17.03333333,23.62222222
1897-09,57.6,6.855555556,14.9,22.95555556
1897-10,17.83888889,3.688888889,10.91111111,18.15555556
1897-11,176.86,-1.466666667,3.311111111,8.1
1897-12,156.1955556,-4.922222222,-0.633333333,3.633333333
1898-01,214.33,-4.844444444,-0.744444444,3.388888889
1898-02,80.39666667,-8.633333333,-3.377777778,1.888888889
1898-03,204.4088889,0.266666667,5.455555556,10.65555556
1898-04,130.0688889,-0.933333333,4.533333333,10
1898-05,148.9066667,7.522222222,13.64444444,19.78888889
1898-06,104.1222222,10.53333333,17.45555556,24.35555556
1898-07,107.4811111,13.61111111,19.72222222,25.84444444
1898-08,223.4122222,13.47777778,19.07777778,24.61111111
1898-09,60.58777778,9.077777778,15.94444444,22.81111111
1898-10,147.6855556,4.477777778,9.644444444,14.81111111
1898-11,95.87333333,-3,2.333333333,7.655555556
1898-12,91.44555556,-8.133333333,-2.988888889,2.155555556
1899-01,152.6877778,-8.133333333,-2.744444444,2.622222222
1899-02,109.4677778,-11.23333333,-6.266666667,-1.3
1899-03,178.1122222,-2.866666667,2.4,7.688888889
1899-04,69.72888889,1.111111111,8.011111111,14.95555556
1899-05,172.8388889,7.911111111,14.18888889,20.48888889
1899-06,154.4122222,11.62222222,17.96666667,24.32222222
1899-07,137.6766667,12.27777778,19.06666667,25.85555556
1899-08,68.53333333,12.04444444,18.92222222,25.8
1899-09,106.3766667,7.533333333,14.2,20.83333333
1899-10,38.14555556,3.122222222,10.7,18.23333333
1899-11,82.31888889,-1.788888889,4.244444444,10.3
1899-12,102.0211111,-7.966666667,-2.622222222,2.733333333
1900-01,66.75222222,-7.5,-2.211111111,3.1
1900-02,117.5911111,-10.37777778,-4.822222222,0.744444444
1900-03,118.6444444,-5.344444444,-0.677777778,3.977777778
1900-04,44.34111111,0.688888889,6.944444444,13.23333333
1900-05,71.40111111,5.6,13.23333333,20.84444444
1900-06,144.7,11.54444444,17.55555556,23.57777778
1900-07,137.64,12.52222222,19.35555556,26.18888889
1900-08,103.0577778,13.41111111,20.46666667,27.53333333
1900-09,37.00333333,11,17.92222222,24.84444444
1900-10,83.30111111,5.3,12.25555556,19.22222222
1900-11,144.96,-0.422222222,4.322222222,9.111111111
1900-12,79.85777778,-7.344444444,-2.455555556,2.455555556
1901-01,100.2166667,-7.622222222,-2.8,2.011111111
