PRISM Time Series Data,,,,
Location:  Lat: 39.1715   Lon: -79.3529   Elev: 1072m,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,
Spatial resolution: 4km,,,,
Period: 1895-01 - 2018-07,,,,
Dataset: AN81m,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,
Grid Cell Interpolation: Off,,,,
Time series generated: 2019-Feb-10,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,
pdate,ppt,tmin,tmean,tmax
1/1/1981,3.413333333,-6.033333333,-3.3,-0.566666667
1/2/1981,9.706666667,-7.766666667,-4.733333333,-1.666666667
1/3/1981,0.65,-11.86666667,-8.266666667,-4.7
1/4/1981,0.45,-20.03333333,-10.56666667,-1.1
1/5/1981,0,-23.73333333,-19.63333333,-15.56666667
1/6/1981,0,-21.8,-14.73333333,-7.666666667
1/7/1981,6.17,-12.56666667,-6.266666667,0.066666667
1/8/1981,3.343333333,-19.56666667,-11.3,-2.966666667
1/9/1981,0.143333333,-19.93333333,-12.8,-5.733333333
1/10/1981,1.066666667,-15.5,-10.06666667,-4.633333333
1/11/1981,0.35,-20.56666667,-15.13333333,-9.733333333
1/12/1981,0.616666667,-22.2,-17.26666667,-12.4
1/13/1981,0,-23.1,-17.56666667,-12.03333333
1/14/1981,0.176666667,-16.96666667,-10.83333333,-4.733333333
1/15/1981,0.74,-8.733333333,-3.433333333,1.866666667
1/16/1981,0.89,-6.733333333,-4.566666667,-2.4
1/17/1981,3.29,-13.6,-8.433333333,-3.2
1/18/1981,0.733333333,-15.03333333,-11.5,-7.933333333
1/19/1981,0,-13.53333333,-7.633333333,-1.7
1/20/1981,0,-10.63333333,-2.733333333,5.1
1/21/1981,4.33,-5.5,-0.666666667,4.166666667
1/22/1981,2.3,-2.533333333,0.4,3.3
1/23/1981,0,-5.266666667,-1.966666667,1.333333333
1/24/1981,0.683333333,-6.733333333,-4.266666667,-1.866666667
1/25/1981,0,-10.03333333,-4.133333333,1.8
1/26/1981,0,-8.666666667,0.8,10.3
1/27/1981,0,-0.833333333,4.633333333,10.06666667
1/28/1981,0,-8.6,-0.333333333,7.833333333
1/29/1981,0,-9.266666667,-3.4,2.5
1/30/1981,0.256666667,-13.1,-8.1,-3.1
1/31/1981,0,-18.3,-11.83333333,-5.333333333
2/1/1981,0,-17.56666667,-7.466666667,2.633333333
2/2/1981,28.22,-7.4,-1.033333333,5.366666667
2/3/1981,6.37,-18.53333333,-9.033333333,0.5
2/4/1981,0.953333333,-18.66666667,-15.4,-12.2
2/5/1981,0.42,-19.03333333,-13.6,-8.133333333
2/6/1981,0,-18.73333333,-11.4,-4.1
2/7/1981,0,-12.9,-7.033333333,-1.133333333
2/8/1981,0.37,-11.7,-3.933333333,3.9
2/9/1981,5.48,-17.26666667,-8.433333333,0.4
2/10/1981,0,-16.63333333,-8.866666667,-1.066666667
2/11/1981,20.42666667,-4.166666667,1.7,7.533333333
2/12/1981,6.496666667,-22.93333333,-6.9,9.066666667
2/13/1981,0,-21.23333333,-14.23333333,-7.166666667
2/14/1981,0,-14.56666667,-4.366666667,5.866666667
2/15/1981,0,-9.333333333,0.3,9.966666667
2/16/1981,0,-8.333333333,1.533333333,11.3
2/17/1981,2.176666667,-2.4,5.033333333,12.43333333
2/18/1981,0.85,1.866666667,6.166666667,10.5
2/19/1981,0.003333333,2.066666667,9.066666667,16.03333333
2/20/1981,6.293333333,1.666666667,6.566666667,11.43333333
2/21/1981,22.22333333,0.3,2.833333333,5.366666667
2/22/1981,0.58,-0.366666667,3,6.366666667
2/23/1981,1.313333333,1.333333333,6.333333333,11.33333333
2/24/1981,14.86333333,-2.533333333,2.733333333,8
2/25/1981,1.503333333,-3.5,-0.7,2.133333333
2/26/1981,0,-7.5,-1.133333333,5.233333333
2/27/1981,0,-9.866666667,-3.166666667,3.566666667
2/28/1981,0,-8.233333333,2.566666667,13.33333333
3/1/1981,12.61333333,-2.133333333,6.4,14.93333333
3/2/1981,0.03,-3.166666667,-0.833333333,1.5
3/3/1981,4.153333333,-8.7,-4.133333333,0.466666667
3/4/1981,0,-9.9,-5.133333333,-0.366666667
3/5/1981,9.083333333,-7.133333333,-1.8,3.5
3/6/1981,5.076666667,-6.5,-1.966666667,2.566666667
3/7/1981,3.67,-8.5,-5.066666667,-1.666666667
3/8/1981,0,-8.7,-5.4,-2.033333333
3/9/1981,0,-7.433333333,-4.266666667,-1.1
3/10/1981,0.15,-7.366666667,-3.6,0.166666667
3/11/1981,0.633333333,-5.566666667,-2.2,1.2
3/12/1981,3.316666667,-7.933333333,-3.7,0.533333333
3/13/1981,0,-7.033333333,0.033333333,7.1
3/14/1981,1.563333333,-9.4,0.266666667,9.933333333
