PRISM Time Series Data,,,,
Location:  Lat: 39.1715   Lon: -79.3529   Elev: 1072m,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,
Spatial resolution: 4km,,,,
Period: 1895-01 - 2018-07,,,,
Dataset: AN81m,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,
Grid Cell Interpolation: Off,,,,
Time series generated: 2019-Feb-10,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1895-01,135.2966667,-10.1,-5.133333333,-0.133333333
1895-02,27.85333333,-13.7,-8.433333333,-3.2
1895-03,126.5633333,-4.466666667,1.066666667,6.5
1895-04,115.65,1.233333333,7.166666667,13.03333333
1895-05,81.64333333,6,12.5,19.03333333
1895-06,87.78,10.16666667,18,25.83333333
1895-07,115.58,10.43333333,16.9,23.46666667
1895-08,61.54666667,12.16666667,18.86666667,25.6
1895-09,38.62,10.33333333,17.3,24.3
1895-10,36.51666667,-1.866666667,5.866666667,13.66666667
1895-11,74.50333333,-2,4.133333333,10.3
1895-12,96.48666667,-5.466666667,-0.6,4.266666667
1896-01,39.13666667,-7.366666667,-2.733333333,1.833333333
1896-02,105.4066667,-6.9,-2.266666667,2.366666667
1896-03,148.5966667,-5.733333333,-0.666666667,4.433333333
1896-04,65.53666667,4.066666667,10.56666667,17.13333333
1896-05,127.6766667,10.8,16.9,23
1896-06,146.6533333,11.7,17.2,22.7
1896-07,330.3766667,14.26666667,19.23333333,24.13333333
1896-08,76.09666667,12.7,18.53333333,24.36666667
1896-09,165.4833333,8.666666667,15,21.3
1896-10,72.47,1.2,7.366666667,13.56666667
1896-11,98.62666667,0.933333333,6.266666667,11.53333333
1896-12,62.08666667,-6.2,-1.3,3.533333333
1897-01,64.86666667,-9.533333333,-4.633333333,0.2
1897-02,182.1833333,-4.866666667,-0.466666667,3.9
1897-03,127.1633333,-0.333333333,4.9,10.03333333
1897-04,84.50333333,1,7.3,13.6
1897-05,134.3233333,4.633333333,11.1,17.6
1897-06,132.4366667,10.56666667,16.76666667,22.96666667
1897-07,193.9566667,13.83333333,19.36666667,24.83333333
1897-08,95.42,11.26666667,17.53333333,23.73333333
1897-09,43.6,6.666666667,14.73333333,22.73333333
1897-10,18.62,3.233333333,11.16666667,19.2
1897-11,155.2633333,-1.8,3.3,8.4
1897-12,145.3033333,-4.6,-0.266666667,4.066666667
1898-01,186.28,-4.266666667,-0.266666667,3.733333333
1898-02,70.33666667,-8.333333333,-2.833333333,2.7
1898-03,201.8266667,0.333333333,5.666666667,10.96666667
1898-04,120.28,-1.033333333,4.766666667,10.53333333
1898-05,143.0066667,7,13.53333333,20.06666667
1898-06,88.66666667,10.4,17.23333333,24.06666667
1898-07,121.9833333,13.43333333,19.63333333,25.83333333
1898-08,238.64,13.23333333,18.73333333,24.23333333
1898-09,71.85,9.433333333,16.1,22.8
1898-10,155.3133333,3.7,9.766666667,15.86666667
1898-11,89.37333333,-3.366666667,2.333333333,8.033333333
1898-12,89.93666667,-8.6,-2.933333333,2.766666667
1899-01,122.5733333,-8,-2.5,2.966666667
1899-02,113.7266667,-10.83333333,-5.633333333,-0.4
1899-03,181.8866667,-2.8,2.666666667,8.133333333
1899-04,64.36,0.733333333,7.8,14.86666667
1899-05,181.2733333,7.566666667,14.23333333,20.86666667
1899-06,146.56,11.46666667,17.86666667,24.26666667
1899-07,125.1933333,11.83333333,19,26.16666667
1899-08,68.62666667,11.83333333,19,26.13333333
1899-09,107.66,6.9,14,21.03333333
1899-10,39.27666667,2.166666667,10.53333333,18.9
1899-11,70.29333333,-2.433333333,4.366666667,11.13333333
1899-12,105.07,-8.5,-2.566666667,3.366666667
1900-01,60.77,-7.6,-1.766666667,4.066666667
1900-02,116.37,-9.666666667,-3.9,1.833333333
1900-03,113.8866667,-5.1,0.1,5.3
1900-04,44.96,0.333333333,7.233333333,14.03333333
1900-05,80.48666667,5.166666667,13.2,21.3
1900-06,139.53,11.4,17.56666667,23.83333333
1900-07,122.43,12.13333333,19.2,26.3
1900-08,82.09333333,13.16666667,20.4,27.6
1900-09,57.42,10.93333333,17.96666667,24.96666667
1900-10,90.05666667,5.1,12.4,19.73333333
1900-11,135.4533333,-1.033333333,4.5,10.03333333
1900-12,75.97666667,-7.1,-2.066666667,3
1901-01,75.57333333,-7.733333333,-2.433333333,2.9
1901-02,34.93333333,-11,-5.933333333,-0.8
1901-03,94.62666667,-3.666666667,2,7.633333333
1901-04,173.59,-1.4,4.366666667,10.13333333
1901-05,162.4533333,5.666666667,12.3,18.93333333
1901-06,146.1566667,10.3,17.23333333,24.16666667
1901-07,97.32,14.33333333,20.93333333,27.53333333
